Cycle,SubmittedProposals,AcceptedProposals,GOFunds,ArchiveFunds,TheoryFunds,TotalAmount
1,779,208,9299510,NA,NA,9299510
2,732,186,9116246,565855,NA,9682101
3,733,229,10522624,822375,NA,11344999
4,817,230,9690526,1124820,604735,11420081
5,785,208,8972302,1237463,590355,10800120
6,781,188,7726439,1181905,488224,9396568
7,736,176,8465436,1371661,610014,10447111
8,722,182,8157704,1167085,689787,10014576
9,661,178,7863242,1113427,748329,9724998
10,638,196,8692105,1369866,750224,10812195
11,666,207,8394878,1496582,963980,10855440
12,678,230,8742812,1128537,703003,10574352
13,658,197,9647459,1119693,526111,11293263
14,668,183,8991739,1094761,652997,10739497
15,635,178,8623301,1068793,611533,10303627
16,633,189,8559260,1059280,561447,10179987
17,576,173,8010357,1075499,676282,9762138
18,549,168,7818469,1095092,649860,9563421
19,574,155,9195058,1498384,635847,11329289
20,527,157,9132612,1195704,641883,10970199
21,518,168,8743841,1058627,604748,10407216
22,520,163,9729613,1025022,618255,11372890
23,517,154,8564215,1065217,618270,10247702
24,423,154,8672395,1038050,609143,10319588
25,408,124,6054247,716483,476795,7247526
