Name	BIBCode	Title	PubInfo	Citations	date
Roychowdhury, Agniva	2023PhDT........10R	Investigating the Dynamics of Extragalactic Jets from Parsec to Kiloparsec Scales: Novel Constraints on Jet Acceleration and Emission	ProQuest Dissertations and Theses, 215. PhD Thesis, Order No. 30694909, Dissertation, University of Maryland, Baltimore County. ISBN: 9798381155013, 2023	0	2023
Shaik, Aamil	2023PhDT........45S	Variability and Spectral Properties of Large-Scale Extragalactic X-Ray Jets	ProQuest Dissertations And Thesis; Thesis (Ph.D.)--University of Maryland, Baltimore County, 2023.; Publication Number: AAT 30639461; ISBN: 9798381159042; Source: Dissertations Abstracts International, Volume: 85-06, Section: B.; 256 p.	0	2023
Yao, Yuhan	2023PhDT.........2Y	High Energy Transients Powered by Black Holes	ProQuest Dissertations And Thesis; Thesis (Ph.D.)--California Institute of Technology, 2023.; Publication Number: AAT 30604267; ISBN: 9798380275620; Source: Dissertations Abstracts International, Volume: 85-03, Section: B.; 308 p.	0	2023
Bertola, Elena	2023PhDT........12B	On the role of AGN feedback in shaping galaxies across cosmic time	PhD Thesis, University of Bologna, Italy (2023)	0	2023
Shen, Xuejian	2023PhDT........33S	Explore the Nature of Dark Matter in the Context of Galaxy Formation	ProQuest Dissertations And Thesis; Thesis (Ph.D.)--California Institute of Technology, 2023.; Publication Number: AAT 30604301; ISBN: 9798380278010; Source: Dissertations Abstracts International, Volume: 85-03, Section: B.; 251 p.	0	2023
Wang, Ziteng	2023PhDT.........2W	Exploring the Transient Radio Sky with ASKAP	PhD Thesis, The University of Sydney, March 2023, 120 pages	0	2023
Sokol, Alyssa	2023PhDT........28S	The coeval mass assembly of the universe via supermassive black hole accretion and star formation in galaxies	PhD Thesis, University of Massachusetts, Amherst, 2023	0	2023
Braun, Chelsea	2023PhDT.........5B	Progenitors and Explosion Properties of Supernova Remnants Hosting Central Compact Objects	PhD Thesis, The University of Manitoba, 2023, 244 pages	0	2023
Dessert, Christopher Robert	2022PhDT.........2D	Indirect Searches for Physics Beyond the Standard Model	PhD Thesis, University of Michigan, 2022, 487 pages	0	2022
Allak, Sinan	2022PhDT........15A	Multi wavelength analysis of selected ultraluminous X-ray sources	PhD Thesis, &Ccedil;anakkale 18 Mart University, 2022	0	2022
Bempong-Manful, Emmanuel K.	2022PhDT........21B	The bases of extragalactic radio jets	Doctoral (PhD) Thesis, University of Bristol, 2022	0	2022
Roulston, Benjamin R.	2022PhDT........20R	Forged by Giants: Understanding the Dwarf Carbon Stars	ProQuest Dissertations And Thesis; Thesis (Ph.D.)--Boston University, 2022.; Publication Number: AAT 29166381; ISBN: 9798380376761; Source: Dissertations Abstracts International, Volume: 85/3(E), Section: B.; 204 p.	0	2022
Lewis, Matthew Richard Francis	2021MsT..........1L	Development of the X-Ray Camera System for Nasa&#39;&#39;s Ogre Sounding Rocket	Master&#39;&#39;s Thesis, Open University (United Kingdom), ProQuest Dissertations Publishing, 2021. Dissertation/thesis number 28508674. Source: DAI-C 82/12(E), Dissertation Abstracts International. Number of pages: 181. ISBN: 9798505575017	0	2021
Ni, Qingling	2021PhDT.........1N	Active Galactic Nuclei Studies in Cosmic X-Ray Survey Fields	PhD Thesis, The Pennsylvania State University, ProQuest Dissertations Publishing, 2021. Dissertation/thesis number 28841623. Source: DAI-B 83/3(E), Dissertation Abstracts International. Number of pages: 250. ISBN: 9798460448098	0	2021
Koeppe, Dana Lindsey	2021PhDT.........3K	Chemical and Thermodynamic Properties of ACCEPT2.0 Clusters	PhD Thesis, Michigan State University, ProQuest Dissertations Publishing, 2021. Dissertation/thesis number 28319135. Source: DAI-B 83/2(E), Dissertation Abstracts International. Number of pages: 195. ISBN: 9798535598192	0	2021
Yan, Wei	2021PhDT.........4Y	Obscuration of Active Galactic Nuclei and Connections to Host Galaxies	PhD Thesis, Dartmouth College, ProQuest Dissertations Publishing, 2021. Dissertation/thesis number 28499364. Source: DAI-B 82/12(E), Dissertation Abstracts International. Number of pages: 121. ISBN: 9798516943089	0	2021
