Cycle,Approved Proposals,Requested Proposals,Approved Observing Time,Requested Observing Time,Approved Targets,Requested Targets
1,208,779,11305,77420.4,327,2213
2,186,732,14353.9,88495.812,398,2467
3,229,733,17456.36,85949.49,529,2254
4,230,817,15485.36,92986.73,500,2338
5,208,785,18258.19,102302.59,374,2137
6,188,781,17001.2,107116.85,415,2619
7,176,736,15794.64,99574.76,415,2673
8,182,722,15970.26,99936.06,534,2958
9,178,661,16119.58,90309.66,511,1924
10,196,638,17254.102,90303.103,419,1841
11,207,666,16293.905,86032.607,538,2082
12,230,678,20083.13,85119.43,535,1845
13,197,658,25674,138919,438,2299
14,183,668,23329.33,123206.68,483,2158
15,178,635,19953.83,105892.78,327,1941
16,189,633,21790,104143,362,1668
17,173,576,16365,80234,365,1558
18,168,549,17175.46,76843.76,436,1710
19,155,574,16748.35,98244.49,332,1601
20,157,527,17325.49,94566.71,339,1778
21,168,518,16846.13,83543.7,271,1385
22,163,520,21392.21,91568.08,432,1503
23,154,517,17048.75,77277.57,336,1403
24,154,423,16031.5,69444.84,361,1220
25,124,408,15499.54,72089.78,332,1228
