Cycle	Proposed	Approved
1	77420.4	11305
2	88495.812	14353.9
3	85949.49	17456.36
4	92986.73	15485.36
5	102302.59	18258.19
6	107116.85	17001.2
7	99574.76	15794.64
8	99936.06	15970.26
9	90309.66	16119.58
10	90303.103	17254.102
11	86032.607	16293.905
12	85119.43	20083.13
13	138919	25674
14	123206.68	23329.33
15	105892.78	19953.83
16	104143	21790
17	80234	16365
18	76843.76	17175.46
19	98244.49	16748.35
20	94566.71	17325.49
21	83543.7	16846.13
22	91568.08	21392.21
23	77277.57	17048.75
24	69444.84	16031.5
25	72089.78	15499.54
26	61281.07	
