Cycle	PIs	PIsadd	Co-Is	Co-Isadd	DComb	DCombadd
1	187	187	518	518	611	611
2	292	105	850	332	986	375
3	391	99	1124	274	1287	301
4	472	81	1376	252	1528	241
5	536	64	1592	216	1742	214
6	583	47	1767	175	1808	66
7	633	50	1944	177	1957	149
8	688	54	2167	223	2218	261
9	734	46	2361	194	2437	219
10	779	45	2519	158	2640	203
11	831	37	2808	289	2979	339
12	892	61	3031	223	3269	290
13	933	41	3200	169	3379	110
14	982	49	3334	134	3465	86
15	1018	36	3474	140	3629	164
16	1068	50	3638	164	3771	142
17	1093	25	3760	122	3901	130
18	1132	39	3902	142	4036	135
19	1168	36	4029	127	4178	142
20	1206	38	4172	143	4326	154
21	1252	46	4275	103	4454	128
22	1292	40	4454	179	4640	186
23	1336	44	4687	224	4879	239
24	1381	45	4856	169	5060	181
25	1412	31	4994	138	5196	136
